seq,ship_code,ship_id,voyage_no,start_port,dest_port,passage_plan_create_dt,origin_latitude,origin_longitude,latitude,longitude,course,distance,sub_ttl,dtg,total_distance,safety_speed,depth,squat,ukc,eta,type,file_name,create_dt
176659,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,34-53.07 N,127-38.73 E,34.8852778,127.6536111,0,0,0,2533.2,2533.2,3,15.8,0.1,7.3,2.02E+11,BTP,HGCD19120141.VO6,2019-12-10 21:08
176660,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,34-54.47 N,127-41.01 E,34.9130556,127.6836111,53.3,2.3,2.3,2530.9,2533.2,3,15.5,0.1,7,2.02E+11,BTP,HGCD19120141.VO6,2019-12-10 21:08
176661,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,34-54.62 N,127-41.84 E,34.9172222,127.7066667,77.6,0.7,3,2530.2,2533.2,5,16.1,0.28,7.4,2.02E+11,BTP,HGCD19120141.VO6,2019-12-10 21:08
176662,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,34-53.88 N,127-44.99 E,34.9077778,127.7608333,105.9,2.7,5.7,2527.5,2533.2,10,24,0.57,13.3,2.02E+11,BTP,HGCD19120141.VO6,2019-12-10 21:08
176663,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,34-53.34 N,127-45.21 E,34.8927778,127.7558333,161.4,0.6,6.3,2526.9,2533.2,10,21.5,0.57,10.8,2.02E+11,BTP,HGCD19120141.VO6,2019-12-10 21:08
176664,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,34-52.68 N,127-45.43 E,34.8855556,127.7619444,164.6,0.7,7,2526.2,2533.2,10,29.5,0.57,18.8,2.02E+11,BTP,HGCD19120141.VO6,2019-12-10 21:08
176665,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,34-51.86 N,127-46.70 E,34.8738889,127.7861111,128.1,1.3,8.3,2524.9,2533.2,14,22,1.12,10.7,2.02E+11,BTP,HGCD19120141.VO6,2019-12-10 21:08
176666,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,34-50.65 N,127-47.69 E,34.8513889,127.8025,146,1.5,9.8,2523.4,2533.2,14,34,1.12,22.7,2.02E+11,BTP,HGCD19120141.VO6,2019-12-10 21:08
176667,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,34-49.99 N,127-47.74 E,34.8441667,127.8038889,176.4,0.7,10.5,2522.7,2533.2,14,22,1.12,10.7,2.02E+11,BTP,HGCD19120141.VO6,2019-12-10 21:08
176668,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,34-48.49 N,127-48.10 E,34.8136111,127.8027778,168.8,1.5,12,2521.2,2533.2,14,18.1,1.12,6.8,2.02E+11,BTP,HGCD19120141.VO6,2019-12-10 21:08
176669,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,34-47.63 N,127-48.31 E,34.8008333,127.8086111,168.6,0.9,12.9,2520.3,2533.2,14,18.4,1.12,7.1,2.02E+11,BTP,HGCD19120141.VO6,2019-12-10 21:08
176670,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,34-45.56 N,127-48.87 E,34.7655556,127.8241667,167.4,2.1,15,2518.2,2533.2,14,15.6,1.12,4.3,2.02E+11,BTP,HGCD19120141.VO6,2019-12-10 21:08
176671,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,34-44.50 N,127-49.57 E,34.7472222,127.8325,151.4,1.2,16.2,2517,2533.2,14,20,1.12,8.8,2.02E+11,BTP,HGCD19120141.VO6,2019-12-10 21:08
