seq,ship_code,ship_id,voyage_no,start_port,dest_port,passage_plan_create_dt,origin_latitude,origin_longitude,latitude,longitude,course,distance,sub_ttl,dtg,total_distance,safety_speed,depth,squat,ukc,eta,type,file_name,create_dt
167703,HGCN,GLOVIS CHAMPION,0045E,KRUSN,KRKAN,20191118,35-22.60 N,129-25.30 E,35.38,129.42,178.5,1.6,9.1,146.6,157.3,7,55,0.3,45.1,2.02E+11,RWP,HGCN19110185.VO6,2019-12-09 17:53
167704,HGCN,GLOVIS CHAMPION,0045E,KRUSN,KRKAN,20191118,34-55.90 N,129-18.70 E,34.9416667,129.3194444,191.5,27.2,27.2,119.4,157.3,17,72,1.72,60.7,2.02E+11,RWP,HGCN19110185.VO6,2019-12-09 17:53
167705,HGCN,GLOVIS CHAMPION,0045E,KRUSN,KRKAN,20191118,34-21.70 N,128-47.30 E,34.3694444,128.7916667,217.2,42.9,70.1,76.5,157.3,17,100,1.72,88.7,2.02E+11,RWP,HGCN19110185.VO6,2019-12-09 17:53
167706,HGCN,GLOVIS CHAMPION,0045E,KRUSN,KRKAN,20191118,34-21.70 N,128-05.20 E,34.3694444,128.0888889,270,34.8,104.9,41.7,157.3,17,57,1.72,45.7,2.02E+11,RWP,HGCN19110185.VO6,2019-12-09 17:53
167707,HGCN,GLOVIS CHAMPION,0045E,KRUSN,KRKAN,20191118,34-34.10 N,127-57.90 E,34.5694444,127.975,334,13.8,118.7,27.9,157.3,17,27.5,1.72,16.2,2.02E+11,RWP,HGCN19110185.VO6,2019-12-09 17:53
167708,HGCN,GLOVIS CHAMPION,0045E,KRUSN,KRKAN,20191118,34-41.03 N,127-56.13 E,34.6841667,127.9369444,348.1,7.1,125.8,20.8,157.3,14,24,1.17,13.2,2.02E+11,RWP,HGCN19110185.VO6,2019-12-09 17:53
167709,HGCN,GLOVIS CHAMPION,0045E,KRUSN,KRKAN,20191118,34-43.60 N,127-50.40 E,34.7333333,127.8444444,298.5,5.4,131.2,15.4,157.3,14,22,1.17,11.2,2.02E+11,RWP,HGCN19110185.VO6,2019-12-09 17:53
167710,HGCN,GLOVIS CHAMPION,0045E,KRUSN,KRKAN,20191118,34-44.51 N,127-49.50 E,34.75,127.83,320.8,1.2,132.4,14.2,157.3,7,26,0.3,16.1,2.02E+11,RWP,HGCN19110185.VO6,2019-12-09 17:53
213960,HGPR,GLOVIS PRIME,0048E,KRUSN,KRKAN,20191208,35-22.56 N,129-25.83 E,35.38,129.42,0,0,0,247.2,256.3,12,70,1.92,59.58,2.02E+11,RWP,HGPR19120236.VO6,2019-12-23 5:08
213961,HGPR,GLOVIS PRIME,0048E,KRUSN,KRKAN,20191208,35-21.43 N,129-25.16 E,35.3619444,129.4211111,205.9,1.3,1.3,245.9,256.3,15,80,1.36,70.14,2.02E+11,RWP,HGPR19120236.VO6,2019-12-23 5:08
213962,HGPR,GLOVIS PRIME,0048E,KRUSN,KRKAN,20191208,35-17.79 N,129-24.28 E,35.3052778,129.4077778,191.2,3.7,5,242.2,256.3,15,82,1.36,72.14,2.02E+11,RWP,HGPR19120236.VO6,2019-12-23 5:08
213963,HGPR,GLOVIS PRIME,0048E,KRUSN,KRKAN,20191208,34-54.94 N,129-18.84 E,34.9261111,129.3233333,191.1,23.3,28.3,218.9,256.3,15,139,1.36,129.14,2.02E+11,RWP,HGPR19120236.VO6,2019-12-23 5:08
213964,HGPR,GLOVIS PRIME,0048E,KRUSN,KRKAN,20191208,34-19.35 N,128-47.60 E,34.3263889,128.8,216,44,72.3,174.9,256.3,15,101,1.36,91.14,2.02E+11,RWP,HGPR19120236.VO6,2019-12-23 5:08
213965,HGPR,GLOVIS PRIME,0048E,KRUSN,KRKAN,20191208,34-19.34 N,128-10.65 E,34.3261111,128.1847222,270,30.7,103,144.2,256.3,15,71,1.36,61.14,2.02E+11,RWP,HGPR19120236.VO6,2019-12-23 5:08
213966,HGPR,GLOVIS PRIME,0048E,KRUSN,KRKAN,20191208,34-23.10 N,128-07.48 E,34.3861111,128.13,325,4.6,107.6,139.6,256.3,15,59,1.36,49.14,2.02E+11,RWP,HGPR19120236.VO6,2019-12-23 5:08
213967,HGPR,GLOVIS PRIME,0048E,KRUSN,KRKAN,20191208,34-25.96 N,128-05.06 E,34.4433333,128.085,325,3.5,111.1,136.1,256.3,15,45,1.36,35.14,2.02E+11,RWP,HGPR19120236.VO6,2019-12-23 5:08
213968,HGPR,GLOVIS PRIME,0048E,KRUSN,KRKAN,20191208,34-31.95 N,127-59.98 E,34.5430556,128.0105556,324.9,7.3,118.4,128.8,256.3,15,30,1.36,20.14,2.02E+11,RWP,HGPR19120236.VO6,2019-12-23 5:08
213969,HGPR,GLOVIS PRIME,0048E,KRUSN,KRKAN,20191208,34-35.00 N,127-57.45 E,34.5833333,127.9625,325.5,3.7,122.1,125.1,256.3,15,26.5,1.36,16.64,2.02E+11,RWP,HGPR19120236.VO6,2019-12-23 5:08
213970,HGPR,GLOVIS PRIME,0048E,KRUSN,KRKAN,20191208,34-41.02 N,127-56.00 E,34.6838889,127.9333333,348.7,6.1,128.2,119,256.3,15,24.5,1.36,14.64,2.02E+11,RWP,HGPR19120236.VO6,2019-12-23 5:08
